weighting,model,scenario,rank,region_id,region,distance
grouped,MRI-ESM2-0,ssp585,10,AR_MARCOSJUAREZ,Marcos Juarez Argentina,1.94
grouped,MRI-ESM2-0,ssp585,11,AU_WAGGA,Wagga Wagga Australia,2.132
grouped,MRI-ESM2-0,ssp585,12,RU_STAVROPOL,Stavropol Russia,2.137
grouped,MRI-ESM2-0,ssp585,13,AR_PERGAMINO,Pergamino Argentina,2.154
grouped,MRI-ESM2-0,ssp585,14,US_MS_GREENVILLE,Greenville Mississippi,2.216
grouped,MRI-ESM2-0,ssp585,15,US_IL_CHAMPAIGN,Champaign Illinois,2.425
grouped,MRI-ESM2-0,ssp585,16,US_IA_AMES,Ames Iowa,2.432
grouped,MRI-ESM2-0,ssp585,17,ZA_BETHLEHEM,Bethlehem South Africa,2.456
grouped,MRI-ESM2-0,ssp585,18,UA_KROPYVNYTSKYI,Kropyvnytskyi Ukraine,2.496
grouped,MRI-ESM2-0,ssp585,19,UA_POLTAVA,Poltava Ukraine,2.544
grouped,MRI-ESM2-0,ssp585,20,AU_HORSHAM,Horsham Australia,2.613
grouped,MRI-ESM2-0,ssp585,21,US_ND_FARGO,Fargo North Dakota,2.858
grouped,MRI-ESM2-0,ssp585,22,FR_CHARTRES,Chartres France,3.222
grouped,MRI-ESM2-0,ssp585,23,AU_NORTHAM,Northam Australia,3.288
grouped,MRI-ESM2-0,ssp585,24,BR_LONDRINA,Londrina Brazil,3.349
grouped,MRI-ESM2-0,ssp585,25,CA_SK_REGINA,Regina Saskatchewan,3.393
grouped,MRI-ESM2-0,ssp585,26,KZ_KOSTANAY,Kostanay Kazakhstan,3.496
grouped,MRI-ESM2-0,ssp585,27,BR_PASSOFUNDO,Passo Fundo Brazil,3.676
grouped,MRI-ESM2-0,ssp585,28,ZA_MALMESBURY,Malmesbury South Africa,3.81
grouped,MRI-ESM2-0,ssp585,29,ES_VALLADOLID,Valladolid Spain,3.826
grouped,MRI-ESM2-0,ssp585,30,TR_KONYA,Konya Turkey,3.974
equal,ACCESS-CM2,ssp245,1,US_OK_ENID,Enid Oklahoma,1.02
equal,ACCESS-CM2,ssp245,2,US_KS_GARDENCITY,Garden City Kansas,1.792
equal,ACCESS-CM2,ssp245,3,US_TX_AMARILLO,Amarillo Texas,1.835
equal,ACCESS-CM2,ssp245,4,AR_MARCOSJUAREZ,Marcos Juarez Argentina,2.591
equal,ACCESS-CM2,ssp245,5,US_TX_WACO,Waco Texas,2.655
equal,ACCESS-CM2,ssp245,6,AU_DUBBO,Dubbo Australia,2.79
equal,ACCESS-CM2,ssp245,7,AR_PERGAMINO,Pergamino Argentina,3.169
equal,ACCESS-CM2,ssp245,8,US_MO_COLUMBIA,Columbia Missouri,3.195
equal,ACCESS-CM2,ssp245,9,US_CO_STERLING,Sterling Colorado,3.318
equal,ACCESS-CM2,ssp245,10,US_NE_HASTINGS,Hastings Nebraska,3.425
equal,ACCESS-CM2,ssp245,11,US_MS_GREENVILLE,Greenville Mississippi,3.442
equal,ACCESS-CM2,ssp245,12,AU_WAGGA,Wagga Wagga Australia,3.485
equal,ACCESS-CM2,ssp245,13,RU_KRASNODAR,Krasnodar Russia,3.583
equal,ACCESS-CM2,ssp245,14,AU_HORSHAM,Horsham Australia,4.265
equal,ACCESS-CM2,ssp245,15,RU_STAVROPOL,Stavropol Russia,4.338
